3 Suits,2,5,1,2,1
3 Suits,3,3,1,2,1
3 Suits,4,8,1,2,1
4 Suits,2,1,1,2,1
4 Suits,3,1,1,1,1
4 Suits,4,2,1,1,1
4 Suits,5,1,1,11,1
6 Suits,2,7,1,21,1
6 Suits,3,5,1,1,1
6 Suits,4,1,1,1,1
Black & White (5 Suits),2,2,1,6,1
Black (5 Suits),2,2,1,49,1
Black (5 Suits),3,28,1,32,1
Black (5 Suits),4,18,1,5,1
Black (6 Suits),2,2,1,33,1
Black (6 Suits),3,22,1,9,1
Brown (3 Suits),2,6,1,1,1
Brown (3 Suits),3,8,1,17,1
Brown (4 Suits),2,1,1,8,1
Brown (4 Suits),3,1,1,1,1
Brown (5 Suits),2,1,1,18,1
Brown (5 Suits),3,2,1,2,1
Brown (6 Suits),2,4,1,10,1
Brown (6 Suits),3,4,1,3,1
Dark Pink (5 Suits),2,1,1,1,1
Dark Pink (6 Suits),2,4,1,21,1
Deceptive-Ones (5 Suits),2,6,1,4,1
Dual-Color & Rainbow (4 Suits),2,1,1,1,1
Dual-Color (6 Suits),3,2,1,2,1
Gray (5 Suits),3,3,1,2,1
Light Pink (3 Suits),2,1,1,3,1
Light Pink (3 Suits),3,1,1,5,1
Light Pink (5 Suits),2,1,1,3,1
Light Pink (6 Suits),3,2,1,8,1
Muddy Rainbow (3 Suits),2,3,1,10,1
Muddy Rainbow (4 Suits),2,3,1,3,1
Muddy Rainbow (5 Suits),2,6,1,6,1
No Variant,2,7,1,2,1
No Variant,3,3,1,9,1
No Variant,4,1,1,15,1
No Variant,5,4,1,7,1
Omni (5 Suits),2,3,1,5,1
Omni (5 Suits),5,1,1,6,1
Pink (3 Suits),2,6,1,2,1
Pink (3 Suits),3,1,1,1,1
Pink (4 Suits),2,1,1,4,1
Pink (4 Suits),3,1,1,1,1
Pink (5 Suits),2,15,1,9,1
Pink (6 Suits),2,8,1,6,1
Prism (3 Suits),3,2,1,1,1
Prism (4 Suits),2,9,1,2,1
Prism (4 Suits),3,3,1,1,1
Prism (5 Suits),2,1,1,2,1
Prism (6 Suits),2,4,1,8,1
Prism (6 Suits),3,1,1,10,1
Rainbow & Brown (5 Suits),2,3,1,6,1
Rainbow & Brown (5 Suits),3,6,1,1,1
Rainbow & Brown (6 Suits),2,1,1,1,1
Rainbow & Brown (6 Suits),3,1,1,3,1
Rainbow & Null (6 Suits),2,6,1,1,1
Rainbow & Pink (6 Suits),2,4,1,3,1
Rainbow & Prism (3 Suits),2,1,1,1,1
Rainbow & Prism (5 Suits),2,3,1,3,1
Rainbow & White (4 Suits),3,1,1,1,1
Rainbow & White (5 Suits),3,2,1,5,1
Rainbow & White (6 Suits),2,19,1,10,1
Rainbow (3 Suits),2,1,1,2,1
Rainbow (3 Suits),3,6,1,3,1
Rainbow (4 Suits),2,3,1,1,1
Rainbow (4 Suits),3,8,1,2,1
Rainbow (4 Suits),4,1,1,1,1
Rainbow (5 Suits),2,1,1,4,1
Rainbow (5 Suits),3,14,1,1,1
Rainbow (5 Suits),4,2,1,13,1
Rainbow (5 Suits),6,1,1,3,1
Rainbow (6 Suits),2,23,1,3,1
Rainbow (6 Suits),3,8,1,8,1
Rainbow (6 Suits),4,5,1,4,1
Rainbow-Ones (5 Suits),3,2,1,5,1
White & Null (5 Suits),2,1,1,8,1
White (3 Suits),2,2,1,8,1
White (3 Suits),3,1,1,2,1
White (3 Suits),4,1,1,4,1
White (4 Suits),2,3,1,5,1
White (4 Suits),3,3,1,1,1
White (4 Suits),4,5,1,2,1
White (5 Suits),2,5,1,8,1
White (5 Suits),3,1,1,16,1
White (5 Suits),4,2,1,7,1
White (5 Suits),5,2,1,2,1
White (6 Suits),2,1,1,5,1
White (6 Suits),3,1,1,6,1
White (6 Suits),4,2,1,1,1
