3 Suits,2,2,1,1,1
4 Suits,2,1,1,1,1
4 Suits,3,2,1,1,1
6 Suits,2,1,1,3,1
Black & Rainbow (5 Suits),2,22,1,5,1
Black (5 Suits),2,6,1,2,1
Black (5 Suits),3,1,1,3,1
Brown (5 Suits),2,4,1,1,1
Brown (6 Suits),2,4,1,2,1
Dark Brown (6 Suits),4,4,1,3,1
Dark Pink (6 Suits),3,1,1,2,1
Dark Rainbow (5 Suits),2,4,1,4,1
Gray (5 Suits),2,1,1,3,1
Gray (6 Suits),2,2,1,5,1
Light Pink (4 Suits),2,1,1,1,1
No Variant,2,2,1,1,1
No Variant,3,4,1,1,1
No Variant,4,8,1,2,1
No Variant,5,2,1,1,1
Null (4 Suits),2,18,1,2,1
Null (5 Suits),4,1,1,4,1
Omni (3 Suits),3,6,1,1,1
Omni (6 Suits),2,4,1,1,1
Pink (4 Suits),4,2,1,1,1
Pink (5 Suits),3,1,1,2,1
Pink (6 Suits),4,1,1,1,1
Prism (3 Suits),2,1,1,6,1
Prism (6 Suits),2,2,1,6,1
Prism Reversed (5 Suits),5,1,1,2,1
Rainbow & White (5 Suits),2,1,1,1,1
Rainbow (3 Suits),2,2,1,1,1
Rainbow (4 Suits),4,9,1,1,1
Rainbow (5 Suits),4,4,1,2,1
Rainbow (6 Suits),2,1,1,2,1
Rainbow (6 Suits),3,1,1,1,1
Rainbow (6 Suits),4,7,1,3,1
Rainbow (6 Suits),5,3,1,5,1
Rainbow-Ones (4 Suits),3,2,1,1,1
Reversed (3 Suits),2,1,1,1,1
White & Dark Pink (6 Suits),5,2,1,2,1
White (6 Suits),2,1,1,2,1
