3 Suits,2,4,1,2,1
4 Suits,2,2,1,4,1
4 Suits,3,1,1,5,1
4 Suits,5,1,1,1,1
6 Suits,2,7,1,8,1
6 Suits,3,2,1,1,1
6 Suits,4,1,1,3,1
Black & Brown (5 Suits),3,1,1,1,1
Black & Prism (6 Suits),3,1,1,1,1
Black & White (5 Suits),3,1,1,3,1
Black & White (5 Suits),4,1,1,3,1
Black (5 Suits),2,3,1,3,1
Black (5 Suits),3,28,1,9,1
Black (5 Suits),4,16,1,7,1
Black (6 Suits),2,17,1,2,1
Black (6 Suits),3,2,1,1,1
Black (6 Suits),4,6,1,3,1
Brown & Prism (5 Suits),5,1,1,3,1
Brown (4 Suits),3,1,1,1,1
Brown (5 Suits),5,1,1,1,1
Brown (6 Suits),3,1,1,1,1
Cocoa Rainbow (6 Suits),3,6,1,1,1
Dark Brown (6 Suits),4,2,1,2,1
Dark Omni (5 Suits),2,11,1,1,1
Dark Rainbow (6 Suits),3,1,1,1,1
Gray (6 Suits),5,4,1,6,1
Light Pink (5 Suits),3,1,1,5,1
Light Pink (5 Suits),5,1,1,1,1
Light Pink (6 Suits),3,7,1,2,1
Muddy Rainbow (3 Suits),3,1,1,1,1
Muddy Rainbow (4 Suits),3,1,1,1,1
Muddy Rainbow (5 Suits),3,1,1,1,1
Muddy Rainbow (6 Suits),3,8,1,4,1
No Variant,2,1,1,19,1
No Variant,3,3,1,2,1
No Variant,4,9,1,10,1
No Variant,5,5,1,2,1
Omni (5 Suits),3,2,1,4,1
Pink & Brown (6 Suits),3,1,1,1,1
Pink & White (5 Suits),3,1,1,1,1
Pink (4 Suits),3,1,1,1,1
Pink (5 Suits),2,1,1,1,1
Pink (5 Suits),3,2,1,1,1
Prism (3 Suits),4,4,1,1,1
Prism (4 Suits),3,1,1,3,1
Prism (4 Suits),4,3,1,3,1
Prism (5 Suits),4,5,1,1,1
Prism (5 Suits),6,3,1,7,1
Rainbow & Gray (6 Suits),4,1,1,7,1
Rainbow & Pink (5 Suits),3,2,1,1,1
Rainbow & White (6 Suits),3,1,1,4,1
Rainbow (4 Suits),2,1,1,2,1
Rainbow (4 Suits),3,5,1,2,1
Rainbow (5 Suits),3,3,1,3,1
Rainbow (5 Suits),4,6,1,5,1
Rainbow (5 Suits),5,1,1,1,1
Rainbow (6 Suits),3,1,1,4,1
Rainbow (6 Suits),5,2,1,6,1
Rainbow (6 Suits),6,2,1,1,1
Special Mix (5 Suits),2,48,1,3,1
Up or Down (5 Suits),3,4,1,6,1
White & Light Pink (5 Suits),5,1,1,1,1
White & Prism (5 Suits),3,1,1,1,1
White (3 Suits),3,12,1,1,1
White (5 Suits),5,1,1,1,1
White (6 Suits),3,1,1,1,1
White (6 Suits),5,1,1,2,1
